key,slus,sles
Chall.Deathmatch4.Game1,0x1cfe534,0x1ce4264
Chall.Deathmatch4.Game2,0x1cfe53c,0x1ce4268
Chall.Deathmatch4.Game3,0x1cfe548,0x1ce426c
Chall.Deathmatch5.Brief,0x1cfe258,0x1ce5f04
Chall.Deathmatch5.Game1,0x1cff834,0x1ce6694
Chall.Deathmatch5.Game2,0x1cff838,0x1ce669c
Chall.Deathmatch5.Game3,0x1cff850,0x1ce66a0
Chall.Deathmatch6.Brief,0x1cfe3a0,0x1ce3a2c
Chall.Deathmatch6.Game1,0x1cff974,0x1ce3da8
Chall.Deathmatch6.Game2,0x1cff978,0x1ce3dac
Chall.Deathmatch6.Game3,0x1cff980,0x1ce3db0
Chall.Deathmatch7.Brief,0x1cff6ac,0x1ce6450
Chall.Deathmatch7.Game1,0x1d00c78,0x1ce6dd0
Chall.Deathmatch7.Game2,0x1d00c7c,0x1ce6e80
Chall.Deathmatch7.Game3,0x1d00c80,0x1ce7358
Chall.Deathmatch8.Brief,0x1cfbd98,0x1ce6110
Chall.Deathmatch8.Game1,0x1cfd374,0x1ce6a18
Chall.Deathmatch8.Game2,0x1cfd384,0x1ce6a20
Chall.Deathmatch8.Game3,0x1cfd388,0x1ce6a24
Chall.Deathmatch9.Brief,0x1cfd088,0x1ce4b6c
Chall.Deathmatch9.Game1,0x1cfe694,0x1ce5344
Chall.Deathmatch9.Game2,0x1cfe698,0x1ce5358
Chall.Deathmatch9.Game3,0x1cfe69c,0x1ce535c
Chall.DrivingRange.brief,0x1cff014,0x1ce5e6c
Chall.DrivingRange.game1,0x1cfe234,0x1ce78e4
Chall.DrivingRange.game2,0x1cfe23c,0x1ce7908
Chall.DrivingRange.game3,0x1cfe24c,0x1ce7918
Chall.DrivingRange.game4,0x1cfe25c,0x1ce7978
Chall.DrivingRange.game5,0x1cfe268,0x1ce7990
Chall.DrivingRange.game6,0x1cfe278,0x1ce7998
Chall.Generic.Lose1,0x1cfc2b4,0x1ce6634
Chall.Generic.Lose2,0x1cfc2e0,0x1ce6638
Chall.Generic.Lose3,0x1cfc2e4,0x1ce663c
Chall.Generic.Lose4,0x1cfc2ec,0x1ce6648
Chall.Generic.Lose5,0x1cfc2f0,0x1ce664c
Chall.Generic.Win1,0x1cffd74,0x1ce3ec0
Chall.Generic.Win2,0x1cffd78,0x1ce3ec8
Chall.Generic.Win3,0x1cffd7c,0x1ce3ecc
Chall.Generic.Win4,0x1cffd98,0x1ce3ed8
Chall.Generic.Win5,0x1cffd9c,0x1ce3edc
Chall.Generic.brief1,0x1cfd674,0x1ce712c
Chall.Generic.brief2,0x1cfd690,0x1ce7130
Chall.Generic.brief3,0x1cfd6a8,0x1ce7134
Chall.Generic.brief6,0x1cfd6ac,0x1ce7138
Chall.Generic.brief7,0x1cfd6b4,0x1ce72d4
Chall.Homing.Move,0x1cfbd94,0x1ce6d98
Chall.Homing.Move2,0x1cfc2f8,0x1ce6b28
Chall.Homing.Start,0x1d009d4,0x1ce4338
Chall.Homing.WellDone,0x1cfd890,0x1ce3dc4
Chall.Homing.WellDone2,0x1cfde4c,0x1ce4e68
Chall.Homing.WellDone3,0x1cfde50,0x1ce4e6c
Chall.Homing.WellDone4,0x1cfde54,0x1ce4e70
Chall.Jetpack1.brief,0x1d003d4,0x1ce5e40
Chall.Jetpack2.Intro1,0x1cfe288,0x1ce79a0
Chall.Jetpack2.Intro2,0x1cfe28c,0x1ce79a4
Chall.Jetpack2.Intro3,0x1cfe290,0x1ce79a8
Chall.Jetpack2.brief,0x1d00510,0x1ce7818
Chall.Jetpack3.Brief2,0x1cfd518,0x1ce5618
Chall.Jetpack3.Intro1,0x1cfe3b8,0x1ce3a30
Chall.Jetpack3.Intro2,0x1cfe3bc,0x1ce3a34
Chall.Jetpack3.Intro2b,0x1cfd6cc,0x1ce4cfc
Chall.Jetpack3.Intro2c,0x1cfd6d4,0x1ce4d08
Chall.Jetpack3.Intro3,0x1cfe3ec,0x1ce3a3c
Chall.Jetpack3.Intro4,0x1cfe3f4,0x1ce3a88
Chall.Jetpack3.Intro5,0x1cfe3f8,0x1ce3a98
Chall.Jetpack3.Intro6,0x1cfe3fc,0x1ce3a9c
Chall.Jetpack3.Intro7,0x1cfe40c,0x1ce3abc
Chall.Jetpack3.Intro8,0x1cfe410,0x1ce3ac0
Chall.Jetpack3.Intro9,0x1cfe414,0x1ce3b4c
Chall.Jetpack3.brief,0x1cfba50,0x1ce628c
Chall.Sheep1.Intro1,0x1d00178,0x1ce5d38
Chall.Sheep1.Intro2,0x1d0018c,0x1ce5d3c
Chall.Sheep1.Intro3,0x1d00190,0x1ce5d68
Chall.Sheep2.Intro1,0x1d00134,0x1ce5cd4
Chall.Sheep2.Intro2,0x1d00144,0x1ce5d10
Chall.Sheep2.Intro3,0x1d00148,0x1ce5d18
Chall.Sheep2.Intro4,0x1d0014c,0x1ce5d20
Chall.Sheep2.Intro5,0x1d00150,0x1ce5d34
Chall.Sheep3.Intro1,0x1cffff4,0x1ce5be8
Chall.Sheep3.Intro2,0x1cffff8,0x1ce5bec
Chall.Sheep3.Intro3,0x1cffffc,0x1ce5bf8
Chall.Sheep3.Intro4,0x1d00004,0x1ce5bfc
Chall.Sheep3.Intro5,0x1d00018,0x1ce5c08
Chall.Sheep3.Intro6,0x1d0001c,0x1ce5c0c
Chall.Sheep3.Intro7,0x1d00020,0x1ce5c10
Chall.Sheep3.Intro8,0x1d0002c,0x1ce5c24
Chall.Shotgun.Intro1,0x1cfcc24,0x1ce6acc
Chall.Shotgun1.Intro1,0x1cffdb8,0x1ce483c
Chall.Shotgun1.Intro2,0x1cffdc0,0x1ce4840
Chall.Shotgun1.Intro3,0x1cffdcc,0x1ce4844
Chall.Shotgun1.brief,0x1cfde64,0x1ce5cd0
Chall.Shotgun1.game1,0x1cfced8,0x1ce4cc0
Chall.Shotgun1.game2,0x1cfcedc,0x1ce4cc4
Chall.Shotgun1.game3,0x1cfcee4,0x1ce4cc8
Chall.Shotgun2.brief,0x1cfb99c,0x1ce5e98
Chall.Shotgun3.Intro1,0x1cfff34,0x1ce49a8
Chall.Shotgun3.Intro2,0x1cfff4c,0x1ce49ac
Chall.Shotgun3.Intro3,0x1cfff54,0x1ce49b8
Chall.Shotgun3.Intro4,0x1cfff5c,0x1ce49c4
Chall.Shotgun3.Intro5,0x1cfff60,0x1ce49d0
Chall.Shotgun3.brief,0x1d0044c,0x1ce744c
Chall.SuperSheep1.brief,0x1cfb7f4,0x1ce5200
Chall.SuperSheep2.brief,0x1cfcad8,0x1ce3c8c
Chall.SuperSheep3.brief,0x1cfdde8,0x1ce7360
Chall.chute3.extra1,0x1cfecb4,0x1ce46f4
Chall.chute3.extra2,0x1cfecbc,0x1ce46f8
Chall.chute3.extra3,0x1cfeccc,0x1ce4718
Chall.chute3.extra4,0x1cfecc8,0x1ce4700
Chall.jet1.extra1,0x1cfc4f0,0x1ce3924
Chall.jet1.extra2,0x1cfc4f4,0x1ce3928
Challenge.End,0x1cfff0c,0x1ce6980
Champagne_BaseSplosh,0x1cfc5d0,0x1ce4ec8
Champagne_FirstBurst,0x1cfe904,0x1ce3b40
Champagne_Littlesprays,0x1cfe344,0x1ce6dbc
Champagne_Main,0x1cfd468,0x1ce4c28
Character.List,0x1cfc91c,0x1ce6654
Chat.ActionColour,0x1cfd038,0x1ce6288
Chat.AnonColour,0x1d0123c,0x1ce6478
Chat.Colour.Alliance,0x1d00a04,0x1ce6418
Chat.Colour.Global,0x1cfef68,0x1ce5910
Chat.Colour.GlobalAnon,0x1d001a8,0x1ce7008
Chat.DefaultColour,0x1cfd3b8,0x1ce6dd8
Chat.InBox.Desc,0x1d0103c,0x1ce627c
Chat.Indicator.AudioPos,0x1cfd4fc,0x1ce7a10
Chat.Indicator.AudioVol,0x1cfede0,0x1ce4fc0
Chat.Indicator.Duration,0x1cfdd68,0x1ce6978
Chat.Indicator.OffScreenPos,0x1cfce3c,0x1ce58bc
Chat.Indicator.OnScreenPos,0x1cfd83c,0x1ce469c
Chat.Indicator.Scale,0x1d0050c,0x1ce6874
Chat.Indicator.ScrollSpeed,0x1d009d0,0x1ce55c4
Chat.Messages,0x1cff100,0x1ce753c
Chat.MessagesTable,0x1cfed50,0x1ce4754
Chat.NotifyDesc,0x1cff2fc,0x1ce502c
Chat.Open,0x1cffdac,0x1ce76f8
Chat.OutBox.Desc,0x1cfe7fc,0x1ce407c
Chat.Players.Desc,0x1cfd6fc,0x1ce38dc
Chicken.HitPoints,0x1cfe0bc,0x1ce4a6c
Chicken.Spawn,0x1cfcb28,0x1ce42e8
ChooseWorm.Enabled,0x1cfb900,0x1ce54b0
ChunkTrails,0x1cfb87c,0x1ce768c
ClockDisplayMode,0x1cffa44,0x1ce55e4
Comment.10Kill.1,0x1cfbbb4,0x1ce39bc
Comment.10Kill.2,0x1cfbbb8,0x1ce39c4
Comment.10Kill.3,0x1cfbbd4,0x1ce39c8
Comment.10Kill.4,0x1cfbbe4,0x1ce39d0
Comment.10Mins,0x1cff940,0x1ce728c
Comment.11Kill.1,0x1d00674,0x1ce500c
Comment.11Kill.2,0x1d00678,0x1ce5020
Comment.11Kill.3,0x1d0067c,0x1ce5028
Comment.11Kill.4,0x1d00690,0x1ce503c
Comment.11Kill.5,0x1d00694,0x1ce5048
Comment.11Kill.6,0x1d00698,0x1ce504c
Comment.12Kill.1,0x1cff394,0x1ce64f8
Comment.12Kill.2,0x1cff398,0x1ce64fc
Comment.12Kill.3,0x1cff39c,0x1ce6500
Comment.12Kill.4,0x1cff3a0,0x1ce650c
Comment.13Kill.1,0x1cfe0b0,0x1ce377c
Comment.13Kill.2,0x1cfe0b8,0x1ce3868
Comment.13Kill.3,0x1cfe0d8,0x1ce386c
Comment.14Kill.1,0x1d007b4,0x1ce6b3c
Comment.14Kill.2,0x1d007c4,0x1ce6b88
Comment.14Kill.3,0x1d007c8,0x1ce6b8c
Comment.14Kill.4,0x1d007d0,0x1ce6cf0
Comment.14Kill.5,0x1d007d4,0x1ce6d0c
Comment.15Kill.1,0x1cff4b4,0x1ce3c0c
Comment.15Kill.2,0x1cff4b8,0x1ce3c10
Comment.15Kill.3,0x1cff4bc,0x1ce3c20
Comment.15Kill.4,0x1cff4c8,0x1ce3c28
Comment.15Kill.5,0x1cff4d0,0x1ce3c80
Comment.1Min,0x1d010a8,0x1ce5634
Comment.2Kill.1,0x1cfbcf4,0x1ce6e8c
Comment.2Kill.10,0x1cfccf0,0x1ce6588
Comment.2Kill.11,0x1cfccf4,0x1ce6590
Comment.2Kill.2,0x1cfbcf8,0x1ce6e90
Comment.2Kill.3,0x1cfbcfc,0x1ce6e94
Comment.2Kill.4,0x1cfbd00,0x1ce6e98
Comment.2Kill.5,0x1cfbd04,0x1ce6e9c
Comment.2Kill.6,0x1cfbd08,0x1ce6ea0
Comment.2Kill.7,0x1cfbd10,0x1ce6eac
Comment.2Kill.8,0x1cfbd14,0x1ce6eb0
Comment.2Kill.9,0x1cfbd18,0x1ce6ec4
Comment.3Kill.1,0x1cfcff4,0x1ce58f0
Comment.3Kill.2,0x1cfd010,0x1ce58f8
Comment.3Kill.3,0x1cfd018,0x1ce58fc
Comment.3Kill.4,0x1cfd024,0x1ce5908
Comment.3Kill.5,0x1cfd028,0x1ce5920
Comment.3Kill.6,0x1cfd02c,0x1ce5928
Comment.3Kill.7,0x1cfd030,0x1ce592c
Comment.3Kill.8,0x1cfd034,0x1ce5934
Comment.3Kill.9,0x1cfd03c,0x1ce5938
Comment.4Kill.1,0x1cfbfac,0x1ce5fe0
Comment.4Kill.2,0x1cfbfb8,0x1ce5fe4
Comment.4Kill.3,0x1cfbfd0,0x1ce5fe8
Comment.4Kill.4,0x1cfbfd4,0x1ce5fec
Comment.4Kill.5,0x1cfbfd8,0x1ce5ff0
Comment.5Kill.1,0x1cfd2a0,0x1ce4aa4
Comment.5Kill.2,0x1cfd2a4,0x1ce4aa8
Comment.5Kill.3,0x1cfd2a8,0x1ce4aac
Comment.5Kill.4,0x1cfd2bc,0x1ce4ab8
Comment.5Kill.5,0x1cfd2c8,0x1ce4ac0
Comment.5Kill.6,0x1cfd2d0,0x1ce4ac8
Comment.5Mins,0x1cfbe64,0x1ce53ac
Comment.6Kill.1,0x1cfe590,0x1ce44d0
Comment.6Kill.2,0x1cfe594,0x1ce44d8
Comment.6Kill.3,0x1cfe598,0x1ce44dc
Comment.6Kill.4,0x1cfe59c,0x1ce44e0
Comment.6Kill.5,0x1cfe5a0,0x1ce44f0
Comment.6Kill.6,0x1cfe5a4,0x1ce44fc
Comment.6Kill.7,0x1cfe5ac,0x1ce4594
Comment.6Kill.8,0x1cfe5b0,0x1ce4598
Comment.7Kill.1,0x1cfe294,0x1ce79ac
Comment.7Kill.2,0x1cfe298,0x1ce79b0
Comment.7Kill.3,0x1cfe2a0,0x1ce3710
Comment.7Kill.4,0x1cfe2a4,0x1ce3718
Comment.7Kill.5,0x1cfe2a8,0x1ce38ec
Comment.7Kill.6,0x1cfe29c,0x1ce79bc
Comment.8Kill.1,0x1cfd134,0x1ce7328
Comment.8Kill.2,0x1cfd13c,0x1ce732c
Comment.8Kill.3,0x1cfd140,0x1ce7334
Comment.8Kill.4,0x1cfd144,0x1ce7338
Comment.8Kill.5,0x1cfd148,0x1ce7340
Comment.8Kill.6,0x1cfd158,0x1ce7348
Comment.9Kill.1,0x1cfe438,0x1ce5f10
Comment.9Kill.2,0x1cfe43c,0x1ce5f28
Comment.9Kill.3,0x1cfe44c,0x1ce5f2c
Comment.9Kill.4,0x1cfe450,0x1ce5f58
Comment.9Kill.5,0x1cfe454,0x1ce5f7c
Comment.9Kill.6,0x1cfe458,0x1ce5f80
Comment.9Kill.7,0x1cfe45c,0x1ce5f98
Comment.9Kill.8,0x1cfe468,0x1ce5fa4
Comment.Baseball.1,0x1cfd8b4,0x1ce6814
Comment.Baseball.2,0x1cfd8b8,0x1ce6818
Comment.Baseball.3,0x1cfd8bc,0x1ce681c
Comment.Baseball.4,0x1cfd8c0,0x1ce6b20
Comment.Baseball.5,0x1cfd8d0,0x1ce6b2c
Comment.Baseball.6,0x1cfd8d4,0x1ce6b30
Comment.Crate.1,0x1d00cb4,0x1ce37f8
Comment.Crate.10,0x1cfc830,0x1ce4e10
Comment.Crate.11,0x1cfc838,0x1ce4e24
Comment.Crate.12,0x1cfc83c,0x1ce4e28
Comment.Crate.13,0x1cfc848,0x1ce4e2c
Comment.Crate.14,0x1cfc854,0x1ce4e34
Comment.Crate.15,0x1cfc858,0x1ce4e38
Comment.Crate.16,0x1cfc860,0x1ce4e3c
Comment.Crate.17,0x1cfc864,0x1ce4e40
Comment.Crate.18,0x1cfc868,0x1ce4e48
Comment.Crate.19,0x1cfc86c,0x1ce4e58
Comment.Crate.2,0x1d00cb8,0x1ce37fc
Comment.Crate.3,0x1d00cbc,0x1ce380c
Comment.Crate.4,0x1d00cd0,0x1ce3818
