id,name,background,foreground,border,icon
615549,"Pushing Them Back to the Grave",Mission_WAC.tga.png,,border.png,Icon_BigGold.png
615550,"Grog from the Seas",Mission_RD.tga.png,,border.png,Icon_BigGold.png
615551,"Windmiller's Quality",Mission_EYC.tga.png,,border.png,Icon_BigGold.png
615552,"Bad Apple",Mission_ACI.tga.png,,border.png,Icon_BigGold.png
615553,"Grenadier",Mission_HelterSkelter.tga.png,,border.png,Icon_BigGold.png
615554,"Cherry Go Round",Mission_TMC.tga.png,,border.png,Icon_BigGold.png
615555,"Clean-up King",Mission_ISNCHYC.tga.png,,border.png,Icon_BigGold.png
615556,"Washed Up",Mission_SMT.tga.png,,border.png,Icon_BigGold.png
615557,"Bail Out, Bail Out",Mission_FFY.tga.png,,border.png,Icon_BigGold.png
615558,"Bobby BlastOff",Mission_CC.tga.png,,border.png,Icon_BigGold.png
615689,"Tree Climber",Mission_TreeVillage.tga.png,,border.png,Icon_BigGold.png
615690,"Jack of All Trades",Mission_MM.tga.png,,border.png,Icon_BigGold.png
615919,"Fee Fi Fo Fum",Mission_Beanstalk.tga.png,,border.png,Icon_BigGold.png
615920,"Bringing Back Bullying",Mission_SFS.tga.png,,border.png,Icon_BigGold.png
615921,"Evil Stays Asleep",Mission_HS.tga.png,,border.png,Icon_BigGold.png
615922,"Short Circuit",Mission_AQF.tga.png,,border.png,Icon_BigGold.png
615923,"Chickening Out",Mission_ACU.tga.png,,border.png,Icon_BigGold.png
615924,"Parkour of the Damned",Mission_TD.tga.png,,border.png,Icon_BigGold.png
615925,"Avast Ye Matey!",Mission_SOCR.tga.png,,border.png,Icon_BigGold.png
615926,"Puzzling Shortcut",Mission_PH.tga.png,,border.png,Icon_BigGold.png
615927,"Aim, Shoot, and Ricochet",Mission_HLS.tga.png,,border.png,Icon_BigGold.png
615928,"Booth Fraud",Mission_NRFF.tga.png,,border.png,Icon_BigGold.png
615929,"Diplomatic Negotiation",Mission_HUR.tga.png,,border.png,Icon_BigGold.png
615930,"Only Up!",Mission_TBG.tga.png,,border.png,Icon_BigGold.png
615931,"Up, up and Away!",Mission_BB.tga.png,,border.png,Icon_BigGold.png
615932,"Counting Sheep",Mission_GNS.tga.png,,border.png,Icon_BigGold.png
615933,"Flooding the Vermin",Mission_BBB.tga.png,,border.png,Icon_BigGold.png
615934,"Minesweeper",Mission_CDD.tga.png,,border.png,Icon_BigGold.png
615935,"The Viking Way",Mission_RR.tga.png,,border.png,Icon_BigGold.png
615936,"Technophobe",Mission_AJS.tga.png,,border.png,Icon_BigGold.png
616025,"Sink Fast",Mission_CDD.tga.png,,border.png,Icon_Multi.png
616026,"Bazooka and Grenades",Level_PNMI.tga.png,,border.png,Icon_Multi.png
616027,"Off to Go Shopping",Challenge_JP1.tga.png,,border.png,Icon_Multi.png
616028,"Meet the Sniper",Tutorial_CA.tga.png,,border.png,Icon_Multi.png
616029,"Standing Strong Against Kong",Tutorial_TMK.tga.png,,border.png,Icon_Multi.png
