Name,Type,Condition Scenario,Condition Type,Key
Shotgun Challenge 3,Challenge,Movie Mayhem,Clear,L.C.Shotgun3
Showdown at the OK Corale Reef,Landscape,Showdown at the OK Corale Reef,Gold,L.L.Showdown
Sinking BnG,Scheme,To Boldly Go,Clear,L.Sch.WBnG
Sniper,Scheme,"Hook, Line, and Skimmer",Clear,L.Sch.Sniping
Spadge and Music,Wormapedia,Rum Deal,Gold,L.P.Beatbox
Sticky Wars,Scheme,Beefcake Breakfast Brawl,Gold,L.Sch.Sticky
Super Sheep Challenge 1,Challenge,High Stakes,Clear,L.C.SS1
Super Sheep Challenge 2,Challenge,Plaice Holder,Clear,L.C.SS2
Super Sheep Challenge 3,Challenge,A Good Nights Sleep,Clear,L.C.SS3
Super Sheep,Weapon,Super Sheep Challenge 3,Gold,L.W.SSheep
Super Villain,Voice,Alien Juice Suckers,Clear,L.S.Villain
Take My Cherry,Landscape,Take My Cherry,Gold,L.L.Cherry
Test Tubes,Landscape,Test Tubes,Clear,L.L.Tubes
That Angular Chap...,Wormapedia,Showdown at the OK Corale Reef,Secret,L.P.Giraffe
The Horror Theme,Wormapedia,Grave Danger,Secret,L.P.Horror
The Lost Missions...,Wormapedia,"In Space, No-One Can Hear You Clean",Gold,L.P.Lost
The Mighty Kong,Landscape,The Mighty Kong,Clear,L.L.Kong
The Sally Army,Wormapedia,All Cooped Up,Clear,L.P.Sally
The Worms Story,Wormapedia,Falling For You,Gold,L.P.Story
Tree Village Trouble,Landscape,Tree Village Trouble,Gold,L.L.Tree
When Annelids Collide,Landscape,When Annelids Collide,Gold,L.L.Collide
Worms 3D Prototype,Wormapedia,To Boldly Go,Gold,L.P.Proto
