key,address
C.Deathmatch.6,0xde8ad8
C.Deathmatch.7,0xde8adc
C.Deathmatch.8,0xde8ae0
C.Deathmatch.9,0xde8ae4
C.Deathmatch.All,0xde79f0
C.Generic.Good.1,0xdebbc8
C.Generic.Good.2,0xdebbdc
C.Generic.Good.3,0xdebbe4
C.Generic.Time.1,0xdedec8
C.Story.BridgeThieves,0xdebd8c
C.Story.CarpetCapers,0xde7b90
C.Story.ChuteToVictory,0xde8164
C.Story.CrateEscape,0xde7a18
C.Story.DestructAndServe,0xde87d8
C.Story.DinerMight,0xde8710
C.Story.DoomCanyon,0xded338
C.Story.Escape,0xdedbd4
C.Story.FastFoodDino,0xdeb6bc
C.Story.GhostHill,0xdec3f0
C.Story.GibbonTake,0xdeee94
C.Story.HighNoon,0xdebd3c
C.Story.JoustAboutIt,0xded350
C.Story.LandWormsForgot,0xdea4ac
C.Story.MineAllMine,0xde78d8
C.Story.NiceToSiege,0xde9c54
C.Story.NoRoomForError,0xdee84c
C.Story.RobInTheHood,0xdeced0
C.Story.Saboteurs,0xdeb00c
C.Story.StormTheCastle,0xde85d4
C.Story.TinCanWally,0xde75a8
C.Story.TraitorousWaters,0xde9d94
C.Story.TurkishDelights,0xde884c
C.Story.ValleyOfDinoWorms,0xdeac0c
C.Story.WindyWizard,0xdead58
C.Tutorial.1,0xdee248
C.Tutorial.2,0xdee258
C.Tutorial.3,0xdee25c
Camelot.CastleSize.Max,0xdecfe4
Camelot.CastleSize.Min,0xdecfb8
Camelot.FortPieces.Max,0xded2a0
Camelot.FortPieces.Min,0xded2f8
Camelot.NumCastles,0xde9950
Camera.AimAngle,0xdea414
Camera.Blimp.DefaultPitch,0xdecf00
Camera.Blimp.HeightAboveLand,0xdec790
Camera.Blimp.MaxZoom,0xde79b4
Camera.Blimp.MinZoom,0xde7fb4
Camera.Blimp.MousePitchSpeed,0xded160
Camera.Blimp.MouseWheelSpeed,0xdecf90
Camera.Blimp.MouseXSpeed,0xde7754
Camera.Blimp.MouseYSpeed,0xded950
Camera.Blimp.MouseYawSpeed,0xded050
Camera.Blimp.MouseZoomSpeed,0xde84e0
Camera.Blimp.MoveSpeed,0xde95d4
Camera.Blimp.PitchSpeed,0xde7e10
Camera.Blimp.RotateSpeed,0xde74c0
Camera.Blimp.StickLength,0xdeb8a0
Camera.Blimp.UpdateSpeed,0xde9f90
Camera.Blimp.ZoomSpeed,0xdeb354
Camera.CurrentMode,0xdea760
Camera.Data,0xde9944
Camera.Entity.TaskId,0xded058
Camera.GameOverCamera,0xde7b04
Camera.Graphic.TaskId,0xdeaaa4
Camera.Head.LookUpdateSpeed,0xdea794
Camera.Head.MaxZoom,0xdee574
Camera.Head.MinZoom,0xded474
Camera.Head.MouseZoomSpeed,0xde8354
Camera.Head.ZoomSpeed,0xde8294
Camera.InvertX,0xded060
Camera.InvertY,0xded064
Camera.InvertYFP,0xdecb04
Camera.Jetpack.DefaultPitch,0xdeeca0
Camera.Jetpack.LookUpdateSpeed,0xdec69c
Camera.Jetpack.MaxPitch,0xde7b20
Camera.Jetpack.MinPitch,0xde8920
Camera.Jetpack.PitchScale,0xdeb8a4
Camera.Jetpack.PitchSpeed,0xde7558
Camera.Jetpack.PosUpdateSpeed,0xde9b18
Camera.Jetpack.StickLength,0xde9e60
Camera.Jetpack.UpUpdateSpeed,0xded498
Camera.LastTrackCam,0xded8f4
Camera.Manual.FastScale,0xde8e94
Camera.Manual.Move.Speed,0xde76d8
Camera.Manual.Rotate.Speed,0xdeed10
Camera.Manual.Time.Speed,0xded49c
Camera.Orbit.AdditionalRadius,0xdebad4
Camera.Orbit.Height,0xdea7f0
Camera.Orbit.IgnoreInput,0xdec474
Camera.Orbit.Speed,0xde92a0
Camera.Path.DrawDebugDots,0xde98a8
Camera.Path.IgnoreInput,0xde93dc
Camera.Path.Knot,0xded410
Camera.Path.Knots.LookAt,0xdec8a8
Camera.Path.Knots.Position,0xded5f0
Camera.Path.Loop.LookAt,0xde901c
Camera.Path.Loop.Position,0xdea9b8
Camera.Path.Steps.LookAt,0xdec294
Camera.Path.Steps.Position,0xdeb2bc
Camera.Path.Tension.LookAt,0xdee824
Camera.Path.Tension.Position,0xdec1f8
Camera.Shake.ExpDurationScale,0xde9358
Camera.Shake.ExpMagScale,0xde94a8
Camera.Shake.ExpRadiusScale,0xdec8a4
Camera.Shake.Handle,0xdeb85c
Camera.Shake.Length,0xde8a7c
Camera.Shake.Magnitude,0xdecbdc
Camera.Shake.Max,0xde912c
Camera.Start.LookAt,0xdee6a8
Camera.Start.Position,0xde95f8
Camera.Start.Up,0xdede40
Camera.Start.Yaw,0xdebe24
Camera.StartOfTurnCamera,0xdea844
Camera.Track.EventPosition,0xdee078
Camera.Track.EventVelocity,0xdec4a4
Camera.Track.MinEventTime,0xded568
Camera.Wobble.Size,0xdede14
Camera.Wobble.Speed,0xde8618
Chall.Generic.Lose1,0xde8004
Chall.Generic.Lose2,0xde8018
Chall.Generic.Lose3,0xde8024
Chall.Generic.Lose4,0xde8028
Chall.Generic.Lose5,0xde802c
Chall.Generic.Win1,0xde7c44
Chall.Generic.Win2,0xde7c50
Chall.Generic.Win3,0xde7c64
Chall.Generic.Win4,0xde7c68
Chall.Generic.Win5,0xde7c6c
Chall.Generic.brief1,0xdef1a4
Chall.Generic.brief2,0xdef1a8
Chall.Generic.brief3,0xdef1ac
Chall.Generic.brief6,0xdef1b4
Chall.Generic.brief7,0xdef1b8
Challenge.Accuracy,0xdecf64
Challenge.CrateCollect,0xde8998
Challenge.Icarus,0xded1e0
Challenge.JetPack,0xdea1ac
Challenge.Navigation,0xdeacf8
Challenge.SSheep,0xdebac0
Challenge.Shotgun,0xdea0b8
Challenge.SniperRifle,0xde7fd4
Character.List,0xdee410
Chat.ActionColour,0xde8d88
Chat.AnonColour,0xdeeecc
Chat.Colour.Alliance,0xdea818
Chat.Colour.Global,0xdecbf0
Chat.Colour.GlobalAnon,0xde807c
Chat.Colour.PlayerIn,0xdeafbc
Chat.Colour.PlayerOut,0xded6a0
Chat.DefaultColour,0xde9108
Chat.Indicator.AudioPos,0xded0cc
Chat.Indicator.AudioVol,0xdee9b0
Chat.Indicator.Duration,0xdeb9f8
Chat.Indicator.OffScreenPos,0xdeca14
Chat.Indicator.OnScreenPos,0xde958c
Chat.Indicator.Scale,0xdea314
Chat.Indicator.ScrollSpeed,0xdea804
Chat.Messages,0xdecd94
Chat.Open,0xdedae8
Chicken.HitPoints,0xde9e0c
Chicken.Spawn,0xdee638
ChooseWorm.Enabled,0xdeb4d0
ClockDisplayMode,0xde9854
Collect10,0xde9a40
Collect5,0xdec214
Comment.10Kill.1,0xde7904
Comment.10Kill.2,0xde7908
Comment.10Kill.3,0xde792c
Comment.10Kill.4,0xde7930
Comment.10Mins,0xded5cc
Comment.11Kill.1,0xdee304
Comment.11Kill.2,0xdee308
Comment.11Kill.3,0xdee314
Comment.11Kill.4,0xdee318
Comment.11Kill.5,0xdee31c
Comment.11Kill.6,0xdee320
Comment.12Kill.1,0xded004
Comment.12Kill.2,0xded008
Comment.12Kill.3,0xded01c
Comment.12Kill.4,0xded020
Comment.13Kill.1,0xdebd04
Comment.13Kill.2,0xdebd08
Comment.13Kill.3,0xdebd0c
Comment.14Kill.1,0xdec510
Comment.14Kill.2,0xdec518
Comment.14Kill.3,0xdec520
Comment.14Kill.4,0xdec524
Comment.14Kill.5,0xdec528
Comment.15Kill.1,0xdeb204
Comment.15Kill.2,0xdeb20c
Comment.15Kill.3,0xdeb224
Comment.15Kill.4,0xdeb228
Comment.15Kill.5,0xdeb22c
Comment.1Min,0xdeaebc
Comment.2Kill.1,0xde7a44
Comment.2Kill.10,0xdea980
Comment.2Kill.11,0xdea984
Comment.2Kill.2,0xde7a48
Comment.2Kill.3,0xde7a4c
Comment.2Kill.4,0xde7a64
Comment.2Kill.5,0xde7a68
Comment.2Kill.6,0xde7a6c
Comment.2Kill.7,0xde7a70
Comment.2Kill.8,0xde7a74
Comment.2Kill.9,0xde7a78
Comment.3Kill.1,0xde8d94
Comment.3Kill.2,0xde8d98
Comment.3Kill.3,0xde8da0
Comment.3Kill.4,0xde8da4
Comment.3Kill.5,0xde8da8
Comment.3Kill.6,0xde8dac
Comment.3Kill.7,0xde8db0
Comment.3Kill.8,0xde8db4
Comment.3Kill.9,0xde8dbc
Comment.4Kill.1,0xdebb44
Comment.4Kill.2,0xdebb70
Comment.4Kill.3,0xdebb74
Comment.4Kill.4,0xdebb7c
Comment.4Kill.5,0xdebb80
Comment.5Kill.1,0xdece74
Comment.5Kill.2,0xdece78
Comment.5Kill.3,0xdece7c
Comment.5Kill.4,0xdece80
Comment.5Kill.5,0xdece84
Comment.5Kill.6,0xdece8c
Comment.5Mins,0xde9acc
Comment.6Kill.1,0xdee144
Comment.6Kill.2,0xdee148
Comment.6Kill.3,0xdee14c
Comment.6Kill.4,0xdee150
Comment.6Kill.5,0xdee160
Comment.6Kill.6,0xdee164
Comment.6Kill.7,0xdee168
Comment.6Kill.8,0xdee16c
Comment.7Kill.1,0xdebf04
Comment.7Kill.2,0xdebf08
Comment.7Kill.3,0xdebf0c
Comment.7Kill.4,0xdebf1c
Comment.7Kill.5,0xdebf20
Comment.7Kill.6,0xdebf24
Comment.8Kill.1,0xdeec44
Comment.8Kill.2,0xdeec68
Comment.8Kill.3,0xdeec6c
Comment.8Kill.4,0xdeec70
Comment.8Kill.5,0xdeec74
Comment.8Kill.6,0xdeec78
Comment.9Kill.1,0xde8244
Comment.9Kill.2,0xde8248
Comment.9Kill.3,0xde8268
Comment.9Kill.4,0xde8274
Comment.9Kill.5,0xde8278
Comment.9Kill.6,0xde827c
Comment.9Kill.7,0xde8284
Comment.9Kill.8,0xde8288
Comment.Baseball.1,0xde76c4
Comment.Baseball.2,0xde76ec
Comment.Baseball.3,0xde76f0
Comment.Baseball.4,0xde76f4
Comment.Baseball.5,0xde76f8
Comment.Baseball.6,0xde76fc
Comment.Crate.1,0xdeca04
Comment.Crate.10,0xdee340
Comment.Crate.11,0xdee344
Comment.Crate.12,0xdee34c
Comment.Crate.13,0xdee350
Comment.Crate.14,0xdee354
Comment.Crate.15,0xdee358
Comment.Crate.16,0xdee35c
Comment.Crate.17,0xdee364
Comment.Crate.17NO,0xdebe7c
Comment.Crate.18,0xdee368
Comment.Crate.19,0xdee36c
Comment.Crate.2,0xdeca1c
Comment.Crate.3,0xdeca20
Comment.Crate.4,0xdeca24
Comment.Crate.5,0xdeca28
Comment.Crate.6,0xdeca2c
Comment.Crate.7,0xdeca30
Comment.Crate.8,0xdeca34
Comment.Crate.9,0xdeca38
Comment.Draw.1,0xde88c4
Comment.Draw.10,0xdedcc4
Comment.Draw.2,0xde88d8
Comment.Draw.3,0xde88dc
Comment.Draw.4,0xde88e4
Comment.Draw.5,0xde88e8
Comment.Draw.6,0xde88f0
Comment.Draw.7,0xde88f4
Comment.Draw.8,0xde88f8
Comment.Draw.9,0xde88fc
Comment.Health.1,0xdeb984
Comment.Health.2,0xdeb988
Comment.Health.3,0xdeb998
Comment.Health.4,0xdeb9a0
Comment.Health.5,0xdeb9a4
Comment.Health.6,0xdeb9a8
Comment.Health.7,0xdeb9ac
Comment.Health.8,0xdeb9b0
Comment.Health.9,0xdeb9b4
Comment.Kill.1,0xde9cdc
Comment.Kill.10,0xdeed08
Comment.Kill.11,0xdeed1c
Comment.Kill.12,0xdeed20
Comment.Kill.13,0xdeed24
Comment.Kill.14,0xdeed28
Comment.Kill.15,0xdeed2c
Comment.Kill.16,0xdeed30
Comment.Kill.17,0xdeed34
Comment.Kill.18,0xdeed38
Comment.Kill.2,0xde9ce0
Comment.Kill.3,0xde9ce4
Comment.Kill.4,0xde9ce8
Comment.Kill.5,0xde9cec
Comment.Kill.6,0xde9cf0
Comment.Kill.7,0xde9cf4
Comment.Kill.8,0xde9d00
Comment.Kill.9,0xde9d08
Comment.LandDeath.1,0xdeb9c4
Comment.LandDeath.10,0xdeda80
Comment.LandDeath.11,0xdeda84
Comment.LandDeath.12,0xdeda88
Comment.LandDeath.13,0xdeda8c
Comment.LandDeath.14,0xdeda90
Comment.LandDeath.15,0xdeda94
Comment.LandDeath.16,0xdeda98
Comment.LandDeath.17,0xdeda9c
Comment.LandDeath.18,0xdedaa8
Comment.LandDeath.19,0xdedaac
Comment.LandDeath.2,0xdeb9c8
Comment.LandDeath.20,0xdeda40
Comment.LandDeath.21,0xdeda78
Comment.LandDeath.22,0xdeda7c
Comment.LandDeath.23,0xdedab0
Comment.LandDeath.24,0xdedab4
Comment.LandDeath.25,0xdedab8
Comment.LandDeath.26,0xdedabc
Comment.LandDeath.27,0xdedac0
Comment.LandDeath.28,0xdedad0
Comment.LandDeath.29,0xdedad8
Comment.LandDeath.3,0xdeb9d4
Comment.LandDeath.30,0xdeda00
Comment.LandDeath.31,0xdeda04
Comment.LandDeath.32,0xdeda08
Comment.LandDeath.33,0xdeda0c
Comment.LandDeath.34,0xdeda1c
Comment.LandDeath.35,0xdeda20
Comment.LandDeath.36,0xdeda24
Comment.LandDeath.37,0xdeda28
Comment.LandDeath.38,0xdeda2c
Comment.LandDeath.39,0xdeda34
Comment.LandDeath.4,0xdeb9d8
Comment.LandDeath.5,0xdeb9dc
Comment.LandDeath.6,0xdeb9e0
Comment.LandDeath.7,0xdeb9e8
Comment.LandDeath.8,0xdeb9ec
Comment.LandDeath.9,0xdeb9f4
Comment.LowTime.1,0xdeb0c4
Comment.LowTime.2,0xdeb0c8
Comment.LowTime.3,0xdeb0cc
Comment.LowTime.4,0xdeb0d0
Comment.LowTime.5,0xdeb0d8
Comment.LowTime.6,0xdeb0dc
Comment.Mystery.1,0xdea664
Comment.Mystery.2,0xdea668
Comment.Mystery.3,0xdea66c
Comment.Mystery.4,0xdea670
Comment.Mystery.5,0xdea674
Comment.Radiation.4,0xdee3b4
Comment.Radiation.5,0xdee3bc
Comment.Radiation.6,0xdee3c0
Comment.Radiation.7,0xdee3c4
Comment.Reinforce.1,0xdeea0c
Comment.Reinforce.2,0xdeea24
Comment.Reinforce.3,0xdeea28
Comment.Reinforce.4,0xdeea2c
Comment.Sdeath.1,0xdecec4
Comment.Sdeath.2,0xdecec8
Comment.Sdeath.3,0xdecedc
Comment.Sdeath.4,0xdecee8
Comment.Sdeath.5,0xdeceec
Comment.Sdeath.6,0xdecef0
Comment.Sickness.1,0xdeac84
Comment.Sickness.10,0xdece00
Comment.Sickness.11,0xdece04
Comment.Sickness.12,0xdece08
Comment.Sickness.13,0xdece0c
Comment.Sickness.14,0xdece14
Comment.Sickness.15,0xdece18
Comment.Sickness.16,0xdece28
Comment.Sickness.17,0xdece2c
Comment.Sickness.2,0xdeac88
Comment.Sickness.3,0xdeac98
Comment.Sickness.4,0xdeac9c
Comment.Sickness.5,0xdeaca0
Comment.Sickness.6,0xdeaca8
Comment.Sickness.7,0xdeacac
Comment.Sickness.8,0xdeacb4
Comment.Sickness.9,0xdeacb8
Comment.StartTurn.1,0xde8e04
Comment.StartTurn.10,0xdeb3c0
Comment.StartTurn.11,0xdeb3c4
Comment.StartTurn.12,0xdeb3c8
Comment.StartTurn.13,0xdeb3cc
Comment.StartTurn.14,0xdeb3e0
Comment.StartTurn.15,0xdeb3e4
Comment.StartTurn.16,0xdeb3e8
Comment.StartTurn.17,0xdeb3ec
Comment.StartTurn.2,0xde8e08
Comment.StartTurn.3,0xde8e20
Comment.StartTurn.4,0xde8e24
Comment.StartTurn.5,0xde8e28
Comment.StartTurn.6,0xde8e2c
Comment.StartTurn.7,0xde8e30
Comment.StartTurn.8,0xde8e34
Comment.StartTurn.9,0xde8e38
Comment.SuddenDeath,0xde9d28
Comment.TeamDeath.1,0xdeb004
Comment.TeamDeath.10,0xdebb84
Comment.TeamDeath.2,0xdeb008
Comment.TeamDeath.3,0xdeb028
Comment.TeamDeath.4,0xdeb02c
Comment.TeamDeath.5,0xdeb030
Comment.TeamDeath.6,0xdeb038
Comment.TeamDeath.7,0xdeb03c
Comment.TeamDeath.8,0xdeb040
Comment.TeamDeath.9,0xdeb044
Comment.TeamWin.1,0xde8a04
Comment.TeamWin.2,0xde8a10
Comment.TeamWin.3,0xde8a1c
Comment.TeamWin.4,0xde8a20
Comment.TeamWin.5,0xde8a24
Comment.Utility.1,0xdeccd8
Comment.Utility.10,0xdeb7e4
Comment.Utility.2,0xdeccdc
Comment.Utility.3,0xdecce0
Comment.Utility.4,0xdecce4
Comment.Utility.5,0xdecce8
Comment.Utility.6,0xdeccf0
Comment.Utility.7,0xdeccf8
Comment.Utility.8,0xdeccfc
Comment.Utility.9,0xdecd00
Comment.WaterDeath.1,0xdea944
Comment.WaterDeath.10,0xde9584
Comment.WaterDeath.11,0xde9588
Comment.WaterDeath.2,0xdea948
Comment.WaterDeath.3,0xdea94c
Comment.WaterDeath.4,0xdea950
Comment.WaterDeath.5,0xdea954
Comment.WaterDeath.6,0xdea958
Comment.WaterDeath.7,0xdea95c
Comment.WaterDeath.8,0xdea960
Comment.WaterDeath.9,0xdea964
CommentaryPanel.Comment,0xdeed50
CommentaryPanel.Delay,0xdebb24
Crate.AddToWormInventory,0xdec9e4
Crate.CanDropFromChute,0xde9014
Crate.Contents,0xde928c
Crate.CustomGraphic,0xdeb4cc
Crate.DelayMillisec,0xded40c
Crate.DisableMessage,0xde87d4
Crate.ExplicitSpawnPos,0xdec89c
Crate.FallSpeed,0xde9490
Crate.Gravity,0xdeb024
Crate.GroundSnap,0xdea540
Crate.HealthInCrates,0xdeeacc
Crate.Hitpoints,0xde768c
Crate.HitpointsMultiplier,0xdeba08
Crate.ImpulseMagnitude,0xdea898
Crate.ImpulseRadius,0xdec18c
Crate.Index,0xde7760
Crate.IsStatue,0xdeb714
Crate.LandDamageRadius,0xdedf0c
Crate.LifetimeSec,0xde890c
Crate.LifetimeTurns,0xdeefcc
Crate.NumContents,0xdedd8c
Crate.Parachute,0xde9354
Crate.Pushable,0xdec898
Crate.RandomSpawnPos,0xdeb48c
Crate.Scale,0xde9ed4
Crate.ShowerSpawnPos,0xdeb78c
Crate.Showered,0xdeecd0
Crate.Spawn,0xdee5b8
Crate.TeamCollectable,0xdeced4
Crate.TeamDestructible,0xdec094
Crate.TrackCam,0xdecc74
Crate.Type,0xded254
Crate.UXB,0xde7cc8
Crate.WaitTillLanded,0xde74d0
Crate.WormDamageMagnitude,0xdedad4
Crate.WormDamageRadius,0xde9ecc
CrateDrop10a,0xde9984
CrateTrackCamera,0xde9e04
CurrentTeamIndex,0xdedaa0
DATA.LockedSchemes,0xde944c
DATA.LockedWeapons,0xdef08c
DATA.Schemes,0xdee38c
DATA.TeamBarracks,0xdee64c
DATA.Weapons,0xde7850
DEBUG.AllMenus,0xdeaad8
DEBUG.AllMenusList,0xdeabd8
DamageGraphic.Amount,0xdecd90
DamageGraphic.Offset,0xdeb450
DamageGraphic.Position,0xded5b8
DamageInflicted0a,0xdea884
DamageInflicted0b,0xdea888
DamageInflicted0c,0xdea88c
DamageInflicted10a,0xdeccd0
DamageSilent0a,0xde8b08
DamageSilent0b,0xde8b0c
DamageTypeTaken,0xde95bc
DamagedWorm.Id,0xde84d4
Databank.CustomDetailBank,0xde7fec
Databank.CustomTextureBank,0xde996c
Databank.MaterialFile,0xdecbe0
Databank.Theme,0xdec820
Databank.TimeOfDay,0xdeef14
DeadWorm.Id,0xdea554
Death10a,0xdedbc4
Death10b,0xdedbcc
Death10c,0xdedbdc
Death10d,0xdedbe0
Death15a,0xded904
Death20a,0xdedfc4
Death5a,0xdea084
Death5b,0xdea088
Death5c,0xdea08c
Death5d,0xdea0a4
Death5e,0xdea0a8
Deathmatch.1,0xdeee44
Deathmatch.10,0xdeb780
Deathmatch.2,0xdeee48
Deathmatch.3,0xdeee4c
Deathmatch.4,0xdeee50
Deathmatch.5,0xdeee58
Deathmatch.6,0xdeee60
Deathmatch.7,0xdeee64
Deathmatch.8,0xdeee68
Deathmatch.9,0xdeee6c
Debug.DotColour,0xde9110
DefInputMapping,0xde7bdc
DefaultRetreatTime,0xde7f98
Demo.Mission,0xde8e78
Demo.Multiplayer,0xde9388
DestructionTeamDied.0,0xde7580
DestructionTeamDied.1,0xde7584
DestructionTeamDied.2,0xde7588
DestructionTeamDied.3,0xde758c
Detail.AnimName,0xdee294
Detail.Orientation,0xde7ef8
Detail.Position,0xdeb97c
Donkey.Bounce,0xdeed18
Donkey.ExtraHeight,0xde9550
Donkey.Gravity,0xdee664
Donkey.MinBounceSpeed,0xdebb50
Donkey.MinHeight,0xdec0d4
DonkeyCamera,0xdea5c4
DoubleDamage,0xde7594
EFMV.Active,0xde8d18
EFMV.BorderHeight,0xdee750
EFMV.BorderOffTime,0xdea154
EFMV.BorderOnTime,0xdebe54
EFMV.BordersActive,0xdeb798
EFMV.GameOverMovie,0xde7514
EFMV.GameOverMovie.Off,0xde7658
EFMV.MovieName,0xde9bd4
EFMV.StartTime,0xdee7d4
EFMV.Unskipable,0xdea518
Earthquake.CameraShakeMagnitude,0xded718
Earthquake.ImpulseMagnitudeMax,0xdeeee0
Earthquake.ImpulseMagnitudeMin,0xdeeeb8
Earthquake.Length,0xdeb2e0
Earthquake.Length.Default,0xded990
