Key,Type,Address,PreUnlocked
Lock.Hat.Builder,HAT,0xded188,0
Lock.Hat.Bunny,HAT,0xdea764,1
Lock.Hat.Chinese,HAT,0xdedc54,1
Lock.Hat.Cowboy,HAT,0xde9064,1
Lock.Hat.Cowboy.Bk,HAT,0xdeabec,1
Lock.Hat.Cowboy.R,HAT,0xdee388,1
Lock.Hat.Cowboy.W,HAT,0xdee3a0,1
Lock.Hat.Cowboy2,HAT,0xded688,0
Lock.Hat.Crown,HAT,0xde9178,0
Lock.Hat.Fashion,HAT,0xdea478,0
Lock.Hat.FlatCap,HAT,0xdef080,1
Lock.Hat.Helmet,HAT,0xdeefd0,1
Lock.Hat.HelmetKing,HAT,0xde995c,0
Lock.Hat.Hockey,HAT,0xdeece4,0
Lock.Hat.Party,HAT,0xde7ae4,1
Lock.Hat.Pigtails,HAT,0xde978c,1
Lock.Hat.Pigtails.Bl,HAT,0xdedf30,1
Lock.Hat.Pigtails.Bnd,HAT,0xdea098,1
Lock.Hat.Pigtails.R,HAT,0xdead48,1
Lock.Hat.Pirate,HAT,0xde8f54,1
Lock.Hat.Police,HAT,0xdeaf14,1
Lock.Hat.Prehistoric,HAT,0xded80c,0
Lock.Hat.Punk,HAT,0xdeddac,0
Lock.Hat.Punk.Bl,HAT,0xded270,0
Lock.Hat.Punk.Gr,HAT,0xded2cc,0
Lock.Hat.Punk.Y,HAT,0xde75a4,0
Lock.Hat.QueenOfSheba,HAT,0xded084,0
Lock.Hat.RedBeret,HAT,0xde9f50,1
Lock.Hat.RocketMan,HAT,0xdea3f8,1
Lock.Hat.Scottish,HAT,0xded760,1
Lock.Hat.Skull,HAT,0xdee730,0
Lock.Hat.SovietArmy,HAT,0xdef0a4,1
Lock.Hat.Spacesuit,HAT,0xde77d0,1
Lock.Hat.Spacesuit.Bl,HAT,0xdeb9f0,1
Lock.Hat.Spacesuit.Gy,HAT,0xdebb68,1
Lock.Hat.Spacesuit.P,HAT,0xdecb00,1
Lock.Hat.USMarine,HAT,0xdea6d8,1
Lock.Hat.Viking,HAT,0xdec3dc,1
Lock.Hat.WW1,HAT,0xdeaac4,1
Lock.Hat.WW2,HAT,0xdeaac8,1
Lock.Hat.Wizard,HAT,0xde85d0,0
Lock.Hat.Wizard.D,HAT,0xdea650,0
Lock.Hat.Wizard.Gr,HAT,0xde7d08,0
Lock.Hat.Wizard.R,HAT,0xdea688,0
Lock.Map.BridgeThieves,MAP,0xdeae0c,0
Lock.Map.CarpetCapers,MAP,0xdecd0c,0
Lock.Map.ChuteToVictory,MAP,0xde9164,0
Lock.Map.CrateEscape,MAP,0xdea4a8,0
Lock.Map.DestructAndServe,MAP,0xdea4e8,0
Lock.Map.DinerMight,MAP,0xde9f10,0
Lock.Map.DoomCanyon,MAP,0xdea438,0
Lock.Map.Escape,MAP,0xdeb858,0
Lock.Map.FastFoodDino,MAP,0xdedf3c,0
Lock.Map.GhostHill,MAP,0xde7df0,0
Lock.Map.GibbonTake,MAP,0xde8a94,0
Lock.Map.HighNoon,MAP,0xde9a38,0
Lock.Map.HoldUntil,MAP,0xde7bf0,0
Lock.Map.JoustAboutIt,MAP,0xde8fd4,0
Lock.Map.LandWormsForgot,MAP,0xde8990,0
Lock.Map.MineAllMine,MAP,0xdea694,0
Lock.Map.NiceToSiege,MAP,0xde99d4,0
Lock.Map.NoRoomForError,MAP,0xde8b48,0
Lock.Map.ReSubmission,MAP,0xdec0f8,0
Lock.Map.RobInTheHood,MAP,0xde9658,0
Lock.Map.Saboteurs,MAP,0xde7b0c,0
Lock.Map.StormTheCastle,MAP,0xded5d4,0
Lock.Map.TinCanWally,MAP,0xde91e4,0
Lock.Map.TopSecret,MAP,0xdec114,0
Lock.Map.TrainingGrounds,MAP,0xdeba8c,0
Lock.Map.TraitorousWaters,MAP,0xde9d90,0
Lock.Map.TurkishDelights,MAP,0xde864c,0
Lock.Map.UniversityChallenged,MAP,0xdeee90,0
Lock.Map.ValleyOfDinoWorms,MAP,0xdef190,0
Lock.Map.WindyWizard,MAP,0xde93d0,0
Lock.Scheme.AllAction,SCHEME,0xde8db8,0
Lock.Scheme.Beginner,SCHEME,0xdeec48,1
Lock.Scheme.Bng,SCHEME,0xdec59c,1
Lock.Scheme.Darksider,SCHEME,0xde7d88,0
Lock.Scheme.HolyGrail,SCHEME,0xde93f4,0
Lock.Scheme.KitchenSink,SCHEME,0xde88ec,0
Lock.Scheme.MegaPower,SCHEME,0xdeacc8,0
Lock.Scheme.Mystery,SCHEME,0xdeca64,0
Lock.Scheme.Pro,SCHEME,0xdeadbc,1
Lock.Scheme.RootNShoot,SCHEME,0xde7790,0
Lock.Scheme.Shopping,SCHEME,0xded59c,0
Lock.Scheme.Standard,SCHEME,0xde88d0,1
Lock.Scheme.Strategy,SCHEME,0xdebe64,0
Lock.Set.Alien,SET,0xdee9f8,0
Lock.Set.Cyberworm,SET,0xdeeef4,0
Lock.Set.Dinoworm,SET,0xdee6f4,0
Lock.Set.Horror,SET,0xdeb65c,0
Lock.Set.Professor,SET,0xde8a48,0
Lock.Sound.ArabianThief,SOUND,0xde9518,0
Lock.Sound.Astronaut,SOUND,0xdeb594,1
Lock.Sound.BluesMan,SOUND,0xde8638,1
Lock.Sound.Bobby,SOUND,0xdedbe8,1
Lock.Sound.Builder,SOUND,0xdec108,0
Lock.Sound.CaveWorm,SOUND,0xde9ff4,0
Lock.Sound.Classic,SOUND,0xde904c,1
Lock.Sound.Cowboy,SOUND,0xde9ea4,1
Lock.Sound.Disco,SOUND,0xded0fc,1
Lock.Sound.Gameshow,SOUND,0xde795c,1
Lock.Sound.Gangster,SOUND,0xded0c8,1
Lock.Sound.Knight,SOUND,0xdeac50,0
Lock.Sound.Meme,SOUND,0xdec9d8,0
Lock.Sound.Scott,SOUND,0xde8050,1
Lock.Sound.Scouser,SOUND,0xded9c8,1
Lock.Sound.SecretAgent,SOUND,0xdee8d0,1
Lock.Sound.Whoopsie,SOUND,0xde8f94,1
Lock.Sound.Wiseworm,SOUND,0xde8834,1
Lock.Sound.Wizard,SOUND,0xde7d14,0
Lock.Story.BridgeThieves,STORY,0xdebc8c,0
Lock.Story.CarpetCapers,STORY,0xdedd90,0
Lock.Story.ChuteToVictory,STORY,0xde99a4,0
Lock.Story.CrateEscape,STORY,0xde96d4,0
Lock.Story.DestructAndServe,STORY,0xde7b98,0
Lock.Story.DinerMight,STORY,0xded4d0,0
Lock.Story.DoomCanyon,STORY,0xde8378,0
Lock.Story.Escape,STORY,0xde9cd4,0
Lock.Story.FastFoodDino,STORY,0xdee9bc,0
Lock.Story.GhostHill,STORY,0xde9bb0,0
Lock.Story.GibbonTake,STORY,0xde9454,0
Lock.Story.HighNoon,STORY,0xdeedf8,0
Lock.Story.JoustAboutIt,STORY,0xdedd50,0
Lock.Story.LandWormsForgot,STORY,0xdee5d0,0
Lock.Story.MineAllMine,STORY,0xded21c,0
Lock.Story.NiceToSiege,STORY,0xdeec98,0
Lock.Story.NoRoomForError,STORY,0xdee688,0
Lock.Story.RobInTheHood,STORY,0xdee5d4,0
Lock.Story.Saboteurs,STORY,0xde78d4,0
Lock.Story.StormTheCastle,STORY,0xdeb214,0
Lock.Story.TinCanWally,STORY,0xde9168,0
Lock.Story.TraitorousWaters,STORY,0xded1cc,0
Lock.Story.TurkishDelights,STORY,0xde918c,0
Lock.Story.ValleyOfDinoWorms,STORY,0xdea44c,0
Lock.Story.WindyWizard,STORY,0xdea190,0
Lock.T.Challenge.Accuracy,TIME_BONUS,0xdee7a8,0
Lock.T.Challenge.CrateCollect,TIME_BONUS,0xde7810,0
Lock.T.Challenge.Icarus,TIME_BONUS,0xde854c,0
Lock.T.Challenge.JetPack,TIME_BONUS,0xde7bec,0
Lock.T.Challenge.Navigation,TIME_BONUS,0xde9038,0
Lock.T.Challenge.SSheep,TIME_BONUS,0xdec640,0
Lock.T.Challenge.Shotgun,TIME_BONUS,0xdea978,0
Lock.T.Challenge.SniperRifle,TIME_BONUS,0xde9558,0
Lock.T.Deathmatch.1,TIME_BONUS,0xde8a44,0
Lock.T.Deathmatch.10,TIME_BONUS,0xdee544,0
Lock.T.Deathmatch.2,TIME_BONUS,0xde8a4c,0
Lock.T.Deathmatch.3,TIME_BONUS,0xde8a50,0
Lock.T.Deathmatch.4,TIME_BONUS,0xde8a58,0
Lock.T.Deathmatch.5,TIME_BONUS,0xde8a5c,0
Lock.T.Deathmatch.6,TIME_BONUS,0xde8a60,0
Lock.T.Deathmatch.7,TIME_BONUS,0xde8a64,0
Lock.T.Deathmatch.8,TIME_BONUS,0xde8a68,0
Lock.T.Deathmatch.9,TIME_BONUS,0xde8a6c,0
Lock.T.Story.BridgeThieves,TIME_BONUS,0xde8dcc,0
Lock.T.Story.CarpetCapers,TIME_BONUS,0xdef10c,0
Lock.T.Story.ChuteToVictory,TIME_BONUS,0xdeefa4,0
Lock.T.Story.CrateEscape,TIME_BONUS,0xdeb4a4,0
Lock.T.Story.DestructAndServe,TIME_BONUS,0xdead54,0
Lock.T.Story.DinerMight,TIME_BONUS,0xdee790,0
Lock.T.Story.DoomCanyon,TIME_BONUS,0xde9db8,0
Lock.T.Story.Escape,TIME_BONUS,0xdec454,0
Lock.T.Story.FastFoodDino,TIME_BONUS,0xdeeb3c,0
Lock.T.Story.GhostHill,TIME_BONUS,0xdea030,0
Lock.T.Story.GibbonTake,TIME_BONUS,0xded220,0
Lock.T.Story.HighNoon,TIME_BONUS,0xdea5f8,0
Lock.T.Story.JoustAboutIt,TIME_BONUS,0xde9ad0,0
Lock.T.Story.LandWormsForgot,TIME_BONUS,0xde9f58,0
Lock.T.Story.MineAllMine,TIME_BONUS,0xdec958,0
Lock.T.Story.NiceToSiege,TIME_BONUS,0xdeebd4,0
Lock.T.Story.NoRoomForError,TIME_BONUS,0xde7988,0
Lock.T.Story.RobInTheHood,TIME_BONUS,0xdee450,0
Lock.T.Story.Saboteurs,TIME_BONUS,0xde7854,0
Lock.T.Story.StormTheCastle,TIME_BONUS,0xdeed14,0
Lock.T.Story.TinCanWally,TIME_BONUS,0xde8c24,0
Lock.T.Story.TraitorousWaters,TIME_BONUS,0xde8e0c,0
Lock.T.Story.TurkishDelights,TIME_BONUS,0xde780c,0
Lock.T.Story.ValleyOfDinoWorms,TIME_BONUS,0xdee390,0
Lock.T.Story.WindyWizard,TIME_BONUS,0xde7dd0,0
Lock.Tash.Afro,MUSTACHE,0xdeb7bc,1
Lock.Tash.Afro.B,MUSTACHE,0xde7548,1
Lock.Tash.Afro.G,MUSTACHE,0xde755c,1
Lock.Tash.Afro.R,MUSTACHE,0xde7590,1
Lock.Tash.Chinese,MUSTACHE,0xdee714,1
Lock.Tash.Cowboy,MUSTACHE,0xdebd64,1
Lock.Tash.Cowboy.B,MUSTACHE,0xde7c08,1
Lock.Tash.Cowboy.Bk,MUSTACHE,0xde7a2c,1
Lock.Tash.Cowboy.G,MUSTACHE,0xde7c1c,1
Lock.Tash.Curly,MUSTACHE,0xdee4a8,1
Lock.Tash.Curly.B,MUSTACHE,0xdebc48,1
Lock.Tash.Curly.G,MUSTACHE,0xdebc5c,1
Lock.Tash.Curly.R,MUSTACHE,0xdebc90,1
Lock.Tash.SafetyPin,MUSTACHE,0xdee2c4,0
Lock.Tash.Scott,MUSTACHE,0xdeb090,1
Lock.Tash.Small.Bln,MUSTACHE,0xdee978,1
Lock.Tash.Small.Br,MUSTACHE,0xdebb48,1
Lock.Tash.Small.R,MUSTACHE,0xdebd48,1
Lock.Tash.Small.W,MUSTACHE,0xdebd5c,1
Lock.Tash.Viking,MUSTACHE,0xdeb2dc,1
Lock.Tash.Viking.Bk,MUSTACHE,0xded92c,1
Lock.Tash.Viking.G,MUSTACHE,0xdedc1c,1
Lock.Tash.Viking.R,MUSTACHE,0xdedbc8,1
Lock.Tutorial1,TUTORIAL,0xdec784,0
Lock.Tutorial2,TUTORIAL,0xdec788,0
Lock.Tutorial3,TUTORIAL,0xdec78c,0
Lock.Weapon.BubbleTrouble,WEAPON,0xdee158,0
Lock.Weapon.HolyHandGrenade,WEAPON,0xde9858,0
Lock.Weapon.IcarusPotion,WEAPON,0xde7a38,0
Lock.Weapon.InflatableScouser,WEAPON,0xde80cc,0
Lock.Weapon.SniperRifle,WEAPON,0xdeb0d4,0
